pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher_1,fielder_2_1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
FC,2024-09-30,90.8,2.66,5.69,"Urshela, Gio",570482,664192,field_out,hit_into_play,NA,NA,NA,NA,4,Gio Urshela flies out to left fielder Brandon Nimmo.,R,R,L,ATL,NYM,X,7,fly_ball,1,1,2024,0.36,1.13,-0.75,2.55,642201,NA,NA,2,6,Bot,84.3,122.13,NA,NA,620443,NA,NA,-9.25369690384865,-132.020733496458,-4.39773894318833,5.97174143922246,25.1272559469413,-18.1936792481431,3.37,1.59,259,75.1,41,91,2263,6.2,747064,664192,620443,624413,682668,578428,657193,607043,664056,621438,54.29,0.151,0.144,0,1,0,0,3,47,3,Cutter,1,0,1,0,0,1,1,0,Standard,Standard,139,-0.038,-0.319,74.08022,7.45641
SI,2024-09-30,90.4,2.78,5.68,"Urshela, Gio",570482,664192,,ball,NA,NA,NA,NA,14,Gio Urshela flies out to left fielder Brandon Nimmo.,R,R,L,ATL,NYM,B,NA,,0,1,2024,1.32,0.35,1.13,1.53,642201,NA,NA,2,6,Bot,NA,NA,NA,NA,620443,NA,NA,-6.94952345751997,-131.525352205847,-5.20298907176126,16.7461514131741,25.8813412318922,-27.2323366322388,3.46,1.66,NA,NA,NA,90.9,2273,6.4,747064,664192,620443,624413,682668,578428,657193,607043,664056,621438,54.08,NA,NA,NA,NA,NA,NA,NA,47,2,Sinker,1,0,1,0,0,1,1,0,Standard,Standard,145,0,0.038,NA,NA
FC,2024-09-30,89.9,2.79,5.86,"Urshela, Gio",570482,664192,,foul,NA,NA,NA,NA,11,Gio Urshela flies out to left fielder Brandon Nimmo.,R,R,L,ATL,NYM,S,NA,,0,0,2024,0.38,0.98,-0.38,3.5,642201,NA,NA,2,6,Bot,NA,NA,NA,NA,620443,NA,NA,-8.61915173460297,-130.706882233892,-2.00560400533217,5.95850307869829,24.5178349579115,-20.6626214819678,3.37,1.59,129,72.4,75,90.1,2162,6.2,747064,664192,620443,624413,682668,578428,657193,607043,664056,621438,54.29,NA,NA,NA,NA,NA,NA,NA,47,1,Cutter,1,0,1,0,0,1,1,0,Standard,Standard,139,0,-0.046,63.81272,6.54942
SI,2024-09-30,89.3,2.74,5.5,"Laureano, Ramón",657656,664192,field_out,hit_into_play,NA,NA,NA,NA,6,Ramón Laureano flies out to right fielder Tyrone Taylor.   Eli White to 3rd.,R,R,L,ATL,NYM,X,9,fly_ball,1,1,2024,1.4,0.43,0.44,2.44,NA,642201,NA,1,6,Bot,195.2,103.95,NA,NA,620443,NA,NA,-8.5977529117325,-129.744443783592,-2.44939966556078,17.6006744086009,26.119771733708,-26.9453617195301,3.33,1.53,307,89.3,40,89.4,2209,6.4,747064,664192,620443,624413,682668,578428,657193,607043,664056,621438,54.14,0.006,0.005,0,1,0,0,3,46,3,Sinker,1,0,1,0,0,1,1,0,Standard,Standard,130,-0.027,-0.301,72.09737,6.84453
FC,2024-09-30,90.7,2.37,5.94,"Laureano, Ramón",657656,664192,,foul,NA,NA,NA,NA,4,Ramón Laureano flies out to right fielder Tyrone Taylor.   Eli White to 3rd.,R,R,L,ATL,NYM,S,NA,,1,0,2024,0.27,1.37,-0.4,2.61,NA,642201,NA,1,6,Bot,NA,NA,NA,NA,620443,NA,NA,-7.53554822751193,-131.87644394678,-5.33944732720583,4.78693908715827,27.737069072711,-15.2059415701186,3.33,1.53,161,84.7,76,90.9,2121,6.5,747064,664192,620443,624413,682668,578428,657193,607043,664056,621438,54.05,NA,NA,NA,NA,NA,NA,NA,46,2,Cutter,1,0,1,0,0,1,1,0,Standard,Standard,145,0,-0.053,NA,NA
SI,2024-09-30,88,2.86,5.51,"Laureano, Ramón",657656,664192,,ball,NA,NA,NA,NA,14,Ramón Laureano flies out to right fielder Tyrone Taylor.   Eli White to 3rd.,R,R,L,ATL,NYM,B,NA,,0,0,2024,1.3,0.72,1.77,1.79,NA,642201,NA,1,6,Bot,NA,NA,NA,NA,620443,NA,NA,-5.33722101830142,-128.088342410931,-4.44219351265046,15.3814728204044,25.3835212550091,-23.5681570107886,3.35,1.53,NA,NA,NA,88.3,2188,6.4,747064,664192,620443,624413,682668,578428,657193,607043,664056,621438,54.1,NA,NA,NA,NA,NA,NA,NA,46,1,Sinker,1,0,1,0,0,1,1,0,Standard,Standard,134,0,0.032,NA,NA
FC,2024-09-30,89,2.31,5.91,"Soler, Jorge",624585,664192,double,hit_into_play,NA,NA,NA,NA,8,Jorge Soler doubles (34) on a sharp line drive to left fielder Brandon Nimmo.,R,R,L,ATL,NYM,X,7,line_drive,2,0,2024,0.21,1,-0.1,2.18,NA,NA,NA,1,6,Bot,47.09,106.62,NA,NA,620443,NA,NA,-6.37323002135547,-129.571873069461,-5.28230306464688,3.62086711084802,24.1640981913631,-19.9695400614404,3.55,1.73,300,115.4,16,89.3,2186,6.2,747064,664192,620443,624413,682668,578428,657193,607043,664056,621438,54.28,0.834,1.136,1.25,1,1,1,6,45,3,Cutter,1,0,1,0,0,1,1,0,Standard,Standard,143,0.04,0.346,82.38018,8.27912
FC,2024-09-30,89.4,2.09,6.13,"Soler, Jorge",624585,664192,,ball,NA,NA,NA,NA,13,Jorge Soler doubles (34) on a sharp line drive to left fielder Brandon Nimmo.,R,R,L,ATL,NYM,B,NA,,1,0,2024,0.25,1.14,-2.24,2.28,NA,NA,NA,1,6,Bot,NA,NA,NA,NA,620443,NA,NA,-11.1805969172304,-129.817107654056,-5.9252632003992,4.92964600198983,24.2116056350531,-18.1759274701443,3.59,1.75,NA,NA,NA,89.7,2143,6.4,747064,664192,620443,624413,682668,578428,657193,607043,664056,621438,54.14,NA,NA,NA,NA,NA,NA,NA,45,2,Cutter,1,0,1,0,0,1,1,0,Standard,Standard,156,0,0.046,NA,NA
CU,2024-09-30,76.1,2.33,6.26,"Soler, Jorge",624585,664192,,ball,NA,NA,NA,NA,13,Jorge Soler doubles (34) on a sharp line drive to left fielder Brandon Nimmo.,R,R,L,ATL,NYM,B,NA,,0,0,2024,-0.1,-0.15,-1.16,0.73,NA,NA,NA,1,6,Bot,NA,NA,NA,NA,620443,NA,NA,-7.1048052900426,-110.760469981686,-4.36211280134235,0.275170833478267,16.6685643855371,-32.9395998194588,3.5,1.71,NA,NA,NA,76.2,2135,6,747064,664192,620443,624413,682668,578428,657193,607043,664056,621438,54.5,NA,NA,NA,NA,NA,NA,NA,45,1,Curveball,1,0,1,0,0,1,1,0,Standard,Standard,349,0,0.024,NA,NA
SI,2024-09-30,89.3,2.72,5.73,"Olson, Matt",621566,664192,strikeout,swinging_strike,NA,NA,NA,NA,12,Matt Olson strikes out swinging.,R,L,L,ATL,NYM,S,2,,3,2,2024,1.07,0.47,1.05,2.82,NA,NA,NA,0,6,Bot,NA,NA,NA,NA,620443,NA,NA,-6.34490748676537,-129.938489194949,-2.16692048417362,13.3794746714046,25.1026946588026,-26.6148078065899,3.41,1.68,NA,NA,NA,89.6,2125,6.3,747064,664192,620443,624413,682668,578428,657193,607043,664056,621438,54.17,NA,0,0,1,0,0,NA,44,9,Sinker,1,0,1,0,0,1,1,0,Infield shade,Standard,139,-0.021,-0.299,71.82187,6.34633
