pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher_1,fielder_2_1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
CU,2024-05-27,82.1,-2.38,5.43,"Abrams, CJ",682928,450203,sac_fly,hit_into_play,NA,NA,NA,NA,8,CJ Abrams out on a sacrifice fly to right fielder Adam Duvall.   Nick Senzel scores.    Jacob Young to 3rd.,R,L,R,ATL,WSH,X,9,fly_ball,2,2,2024,1.18,-0.76,-0.25,2.07,669222,696285,NA,1,6,Top,169.79,53.55,NA,NA,669221,NA,NA,2.54544262949168,-119.575796981912,0.397009727213733,10.8070232318034,23.2033495304294,-39.7251817221371,3.49,1.56,374,102.4,40,82,3242,6.2,747118,450203,669221,621566,645277,663586,606115,672284,671739,594807,54.3,0.217,0.428,0,1,0,0,5,45,6,Curveball,0,7,7,0,8,0,8,0,Strategic,Standard,60,-0.001,-0.203,73.97526650682435,7.99654
FF,2024-05-27,95.7,-2,5.65,"Miranda, Jose",669304,679525,strikeout,called_strike,NA,NA,NA,NA,6,Jose Miranda called out on strikes.,R,R,R,MIN,KC,S,2,,2,2,2024,-0.81,1.26,0.63,2.02,NA,NA,666397,2,7,Bot,NA,NA,NA,NA,521692,NA,NA,8.74706476633745,-138.950575514113,-6.80054360174345,-12.484727282463,30.683424111691,-14.5139592475124,2.94,1.45,NA,NA,NA,95.6,2396,6.3,745904,679525,521692,686469,624428,672580,677951,669004,680118,592669,54.16,NA,0,0,1,0,0,NA,52,5,4-Seam Fastball,5,1,5,1,1,5,5,1,Standard,Standard,226,-0.003,-0.182,NA,NA
FF,2024-05-27,96.3,-1.98,5.69,"Miranda, Jose",669304,679525,,ball,NA,NA,NA,NA,12,Jose Miranda called out on strikes.,R,R,R,MIN,KC,B,NA,,1,2,2024,-0.73,1.33,1.23,3.98,NA,NA,666397,2,7,Bot,NA,NA,NA,NA,521692,NA,NA,10.1286320531888,-139.942987953755,-1.96984859173169,-11.8395662186494,31.3799752571425,-14.4107927037176,2.88,1.32,NA,NA,NA,96.1,2542,6.2,745904,679525,521692,686469,624428,672580,677951,669004,680118,592669,54.29,NA,NA,NA,NA,NA,NA,NA,52,4,4-Seam Fastball,5,1,5,1,1,5,5,1,Standard,Standard,222,0,0.022,NA,NA
CU,2024-05-27,82.7,-2.35,5.45,"Abrams, CJ",682928,450203,,foul,NA,NA,NA,NA,7,CJ Abrams out on a sacrifice fly to right fielder Adam Duvall.   Nick Senzel scores.    Jacob Young to 3rd.,R,L,R,ATL,WSH,S,NA,,2,2,2024,0.96,-0.7,-0.57,1.52,669222,696285,NA,1,6,Top,NA,NA,NA,NA,669221,NA,NA,2.1963321141713,-120.45226284199,-1.1197035098554,8.99269722932223,22.6921313472042,-39.0055492232012,3.49,1.56,1,73.6,-53,83.1,3150,6.4,747118,450203,669221,621566,645277,663586,606115,672284,671739,594807,54.06,NA,NA,NA,NA,NA,NA,NA,45,5,Curveball,0,7,7,0,7,0,7,0,Strategic,Standard,58,0,0,77.23249744460347,8.29046
FF,2024-05-27,93.1,-1.99,5.67,"Miranda, Jose",669304,679525,,swinging_strike,NA,NA,NA,NA,6,Jose Miranda called out on strikes.,R,R,R,MIN,KC,S,NA,,1,1,2024,-0.9,1.35,0.66,2.31,NA,NA,666397,2,7,Bot,NA,NA,NA,NA,521692,NA,NA,8.74702332303322,-135.260529768025,-5.8052447781222,-12.9513653248162,28.5695783079997,-14.5018690388313,3.08,1.43,NA,NA,NA,92.9,2514,6.2,745904,679525,521692,686469,624428,672580,677951,669004,680118,592669,54.29,NA,NA,NA,NA,NA,NA,NA,52,3,4-Seam Fastball,5,1,5,1,1,5,5,1,Standard,Standard,221,0,-0.047,68.41265572994003,7.52138
CU,2024-05-27,81.7,-2.31,5.44,"Abrams, CJ",682928,450203,,swinging_strike,NA,NA,NA,NA,14,CJ Abrams out on a sacrifice fly to right fielder Adam Duvall.   Nick Senzel scores.    Jacob Young to 3rd.,R,L,R,ATL,WSH,S,NA,,2,1,2024,0.94,-0.76,0.82,1.03,669222,NA,696285,1,6,Top,NA,NA,NA,NA,669221,NA,NA,5.25351901745528,-118.886388061856,-1.91615617875577,7.97042884210766,22.1595391104181,-39.2387143803953,3.49,1.56,NA,NA,NA,82.1,2993,6.5,747118,450203,669221,621566,645277,663586,606115,672284,671739,594807,54.01,NA,NA,NA,NA,NA,NA,NA,45,4,Curveball,0,7,7,0,7,0,7,0,Standard,Standard,65,-0.001,-0.124,56.594735963266416,8.71719
FC,2024-05-27,88.9,-2.29,5.45,"Abrams, CJ",682928,450203,,foul,NA,NA,NA,NA,5,CJ Abrams out on a sacrifice fly to right fielder Adam Duvall.   Nick Senzel scores.    Jacob Young to 3rd.,R,L,R,ATL,WSH,S,NA,,2,0,2024,-0.04,0.57,0.2,2.56,669222,NA,696285,1,6,Top,NA,NA,NA,NA,669221,NA,NA,6.18061859654152,-129.502833512046,-2.33467852291685,-1.53393759626791,23.2475508465354,-25.4546299669087,3.49,1.56,3,64.3,-44,89.6,2473,6.3,747118,450203,669221,621566,645277,663586,606115,672284,671739,594807,54.17,NA,NA,NA,NA,NA,NA,NA,45,3,Cutter,0,7,7,0,7,0,7,0,Standard,Standard,228,0,-0.083,72.45531013148526,7.54389
SL,2024-05-27,84.5,2.27,5.98,"Duvall, Adam",594807,680730,home_run,hit_into_play,NA,NA,NA,NA,3,Adam Duvall homers (5) on a fly ball to left field.   Matt Olson scores.,R,R,L,ATL,WSH,X,NA,fly_ball,3,2,2024,-0.23,0.74,0.56,3.29,NA,621566,NA,1,7,Bot,35.82,73.64,NA,NA,660688,NA,NA,-3.54219314489932,-123.133363104982,-1.51148245807909,-1.82295238993279,20.5894427403547,-24.4326527678139,3.43,1.57,410,108.6,39,85.7,2028,6.6,747118,680730,660688,608336,671277,669222,682928,592696,696285,657041,53.88,0.723,1.485,2,1,0,3,6,57,9,Slider,1,8,1,8,8,3,3,8,Standard,Standard,278,0.014,1.531,78.70792250017432,8.14285
ST,2024-05-27,84.9,-2.01,5.64,"Miranda, Jose",669304,679525,,ball,NA,NA,NA,NA,9,Jose Miranda called out on strikes.,R,R,R,MIN,KC,B,NA,,0,1,2024,0.82,-0.15,0.51,1.33,NA,NA,666397,2,7,Bot,NA,NA,NA,NA,521692,NA,NA,4.21780993314807,-123.436647326095,-3.320598590804,7.27201982918591,28.9053799805734,-33.111954478068,3.03,1.29,NA,NA,NA,83.7,2567,6,745904,679525,521692,686469,624428,672580,677951,669004,680118,592669,54.53,NA,NA,NA,NA,NA,NA,NA,52,2,Sweeper,5,1,5,1,1,5,5,1,Standard,Standard,48,0,0.027,NA,NA
FF,2024-05-27,93.9,-2.5,4.64,"Renfroe, Hunter",592669,657746,strikeout,called_strike,NA,NA,NA,NA,14,Hunter Renfroe called out on strikes.,R,R,R,MIN,KC,S,2,,2,2,2024,-0.95,1.24,0.9,2.12,NA,NA,NA,2,7,Top,NA,NA,NA,NA,680777,NA,NA,11.0381894974798,-136.329827669958,-3.55875536561965,-14.30580484968,31.270937346452,-16.1105175475762,3.41,1.63,NA,NA,NA,94.8,2325,7,745904,657746,680777,666135,666397,669304,621043,650489,621439,596146,53.46,NA,0,0,1,0,0,NA,48,7,4-Seam Fastball,5,1,1,5,1,5,1,5,Standard,Standard,224,0.004,-0.082,NA,NA
