pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher_1,fielder_2_1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
FF,2024-07-01,94.8,1.91,5.96,"Alonso, Pete",624413,669022,field_out,hit_into_play,NA,NA,NA,NA,3,Pete Alonso flies out to right fielder Lane Thomas.,R,R,L,WSH,NYM,X,9,fly_ball,3,2,2024,0.3,1.73,0.51,2.92,NA,664056,NA,1,6,Top,183.24,140.72,NA,NA,660688,NA,NA,-4.38506180631393,-137.909346684214,-6.18260969882191,4.90027633576013,32.9383912880824,-8.97158810469451,3.47,1.61,226,78,46,95.8,2337,7,744840,669022,660688,608841,545121,669222,682928,695578,696285,657041,53.45,0.051,0.047,0,1,0,0,3,42,6,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,149,0.047,-0.365,73.28719210255548,6.93032
FF,2024-07-01,96.6,1.84,5.89,"Alonso, Pete",624413,669022,,ball,NA,NA,NA,NA,13,Pete Alonso flies out to right fielder Lane Thomas.,R,R,L,WSH,NYM,B,NA,,2,2,2024,0.28,1.49,-1.36,1.57,NA,664056,NA,1,6,Top,NA,NA,NA,NA,660688,NA,NA,-9.26767559868825,-140.114954265837,-9.4153885734595,5.81934891174892,31.9673226415226,-10.5763886773935,3.47,1.61,NA,NA,NA,97.6,2234,7,744840,669022,660688,608841,545121,669222,682928,695578,696285,657041,53.46,NA,NA,NA,NA,NA,NA,NA,42,5,4-Seam Fastball,2,0,0,2,0,2,0,2,Infield shade,Standard,148,0,0.109,NA,NA
FF,2024-07-01,96.3,2.01,5.82,"Alonso, Pete",624413,669022,,foul,NA,NA,NA,NA,1,Pete Alonso flies out to right fielder Lane Thomas.,R,R,L,WSH,NYM,S,NA,,2,1,2024,0.42,1.51,-0.61,3.37,NA,664056,NA,1,6,Top,NA,NA,NA,NA,660688,NA,NA,-8.03949717188171,-140.15122865824,-4.45697566537789,7.19118839167605,28.6915352389368,-11.4275735647552,3.47,1.61,186,73.3,20,98.2,2409,7.1,744840,669022,660688,608841,545121,669222,682928,695578,696285,657041,53.36,NA,NA,NA,NA,NA,NA,NA,42,4,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,151,0,-0.094,71.45704387674364,6.30598
FF,2024-07-01,97.2,2.06,5.79,"Alonso, Pete",624413,669022,,ball,NA,NA,NA,NA,12,Pete Alonso flies out to right fielder Lane Thomas.,R,R,L,WSH,NYM,B,NA,,1,1,2024,0.52,1.25,0.07,3.61,NA,NA,664056,1,6,Top,NA,NA,NA,NA,660688,NA,NA,-6.6036239293206,-141.506441398243,-3.30108723838062,8.31903917326429,28.0717768320051,-14.6746204414481,3.47,1.61,NA,NA,NA,99.1,2438,7,744840,669022,660688,608841,545121,669222,682928,695578,696285,657041,53.49,NA,NA,NA,NA,NA,NA,NA,42,3,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,154,-0.018,0.058,NA,NA
FF,2024-07-01,95.6,1.89,5.91,"Alonso, Pete",624413,669022,,swinging_strike,NA,NA,NA,NA,2,Pete Alonso flies out to right fielder Lane Thomas.,R,R,L,WSH,NYM,S,NA,,1,0,2024,0.48,1.58,0.11,3.27,NA,NA,664056,1,6,Top,NA,NA,NA,NA,660688,NA,NA,-5.85685863964311,-139.078598941504,-4.98268672159166,7.51046957671011,29.8867301250652,-10.7176116112138,3.47,1.61,NA,NA,NA,97.2,2434,7.1,744840,669022,660688,608841,545121,669222,682928,695578,696285,657041,53.39,NA,NA,NA,NA,NA,NA,NA,42,2,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,153,0,-0.051,74.32613777982695,6.45926
FF,2024-07-01,95.8,2,5.91,"Alonso, Pete",624413,669022,,ball,NA,NA,NA,NA,12,Pete Alonso flies out to right fielder Lane Thomas.,R,R,L,WSH,NYM,B,NA,,0,0,2024,0.74,1.46,1.19,4.64,NA,NA,664056,1,6,Top,NA,NA,NA,NA,660688,NA,NA,-3.85718620474557,-139.591632592496,-1.10677885507343,10.4789186993236,28.8204083343727,-12.904314161027,3.47,1.61,NA,NA,NA,97.2,2385,6.8,744840,669022,660688,608841,545121,669222,682928,695578,696285,657041,53.68,NA,NA,NA,NA,NA,NA,NA,42,1,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,150,0,0.04,NA,NA
FF,2024-07-01,97.4,-1.78,6.05,"Varsho, Daulton",662139,686613,strikeout,foul_tip,NA,NA,NA,NA,5,Daulton Varsho strikes out on a foul tip.,R,L,R,TOR,HOU,S,2,,2,2,2024,-0.41,1.46,0.02,2.26,NA,NA,NA,2,6,Bot,NA,NA,NA,NA,673237,NA,NA,5.78746094646706,-141.562269849994,-8.02640078993964,-6.89063474001753,32.9436892783842,-10.842661578778,3.09,1.41,NA,NA,NA,97.5,2355,6.4,744914,686613,673237,572138,643289,608324,665161,676801,676694,663550,54.05,NA,0,0,1,0,0,NA,43,9,4-Seam Fastball,0,1,0,1,1,0,0,1,Infield shade,Standard,194,-0.019,-0.084,76.27766287270427,7.29154
KC,2024-07-01,84,-1.79,6.2,"Varsho, Daulton",662139,686613,,foul,NA,NA,NA,NA,8,Daulton Varsho strikes out on a foul tip.,R,L,R,TOR,HOU,S,NA,,2,2,2024,0.27,-1.28,0.14,1.38,NA,NA,NA,2,6,Bot,NA,NA,NA,NA,673237,NA,NA,3.93038144397387,-122.254335136522,-2.17040357574566,1.87740216112411,25.941195862358,-44.7143570083139,3.09,1.41,6,94.3,-12,83.6,2516,6.2,744914,686613,673237,572138,643289,608324,665161,676801,676694,663550,54.33,NA,NA,NA,NA,NA,NA,NA,43,8,Knuckle Curve,0,1,0,1,1,0,0,1,Infield shade,Standard,16,0,0,67.86071592014602,8.08425
FF,2024-07-01,97.5,1.9,5.91,"Martinez, J.D.",502110,669022,strikeout,swinging_strike,NA,NA,NA,NA,3,J.D. Martinez strikes out swinging.,R,R,L,WSH,NYM,S,2,,1,2,2024,0.48,1.53,0.5,3.55,NA,NA,664056,0,6,Top,NA,NA,NA,NA,660688,NA,NA,-4.90673569368434,-141.875023616239,-4.41268973907764,7.55294612258008,31.023130297227,-10.713838363324,3.71,1.74,NA,NA,NA,98.7,2474,6.8,744840,669022,660688,608841,545121,669222,682928,695578,696285,657041,53.66,NA,0,0,1,0,0,NA,41,4,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,153,0.048,-0.284,66.4286754099525,6.56035
FF,2024-07-01,96.2,-1.59,6.14,"Varsho, Daulton",662139,686613,,ball,NA,NA,NA,NA,11,Daulton Varsho strikes out on a foul tip.,R,L,R,TOR,HOU,B,NA,,1,2,2024,-0.29,1.34,-0.58,5.7,NA,NA,NA,2,6,Bot,NA,NA,NA,NA,673237,NA,NA,3.36680222826917,-140.161119052435,1.37342901062006,-4.59590337904314,31.7344821811787,-15.0361445307236,3.19,1.46,NA,NA,NA,96.6,2163,6.5,744914,686613,673237,572138,643289,608324,665161,676801,676694,663550,54.04,NA,NA,NA,NA,NA,NA,NA,43,7,4-Seam Fastball,0,1,0,1,1,0,0,1,Infield shade,Standard,198,0,0.017,NA,NA
FF,2024-07-01,96.6,1.93,5.74,"Martinez, J.D.",502110,669022,,swinging_strike,NA,NA,NA,NA,2,J.D. Martinez strikes out swinging.,R,R,L,WSH,NYM,S,NA,,1,1,2024,0.69,1.23,0.16,3.47,NA,NA,664056,0,6,Top,NA,NA,NA,NA,660688,NA,NA,-6.37161672592944,-140.63628497284,-3.40541988308005,10.4804743397267,28.6927549816539,-15.1677333575713,3.71,1.74,NA,NA,NA,98.5,2417,7.1,744840,669022,660688,608841,545121,669222,682928,695578,696285,657041,53.38,NA,NA,NA,NA,NA,NA,NA,41,3,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,144,0,-0.077,72.7681566804432,6.96397
