pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher_1,fielder_2_1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
SI,2024-04-22,91.5,-1.34,5.15,"Kiner-Falefa, Isiah",643396,663903,strikeout,called_strike,NA,NA,NA,NA,6,Isiah Kiner-Falefa called out on strikes.,R,R,R,KC,TOR,S,2,,0,2,2024,-1.27,0.8,0.66,2.63,NA,NA,NA,2,6,Top,NA,NA,NA,NA,521692,NA,NA,7.90487412382926,-133.074883565224,-2.26187647968956,-16.702746495889,26.2731438770303,-22.3060024374715,3.28,1.47,NA,NA,NA,93.3,2135,7.2,746319,663903,521692,686469,686681,672580,677951,680118,641658,592669,53.28,NA,0,0,1,0,0,NA,42,3,Sinker,0,5,5,0,5,0,5,0,Standard,Standard,221,0.002,-0.058,NA,NA
SL,2024-04-22,81.5,-1.54,5.39,"Kiner-Falefa, Isiah",643396,663903,,swinging_strike,NA,NA,NA,NA,14,Isiah Kiner-Falefa called out on strikes.,R,R,R,KC,TOR,S,NA,,0,1,2024,0.41,-0.35,0.37,0.89,NA,NA,NA,2,6,Top,NA,NA,NA,NA,521692,NA,NA,3.52482353836284,-118.756907832964,-2.92686826793105,3.30865088783869,21.2627936023634,-35.2041815225146,3.33,1.56,NA,NA,NA,82.6,2297,6.8,746319,663903,521692,686469,686681,672580,677951,680118,641658,592669,53.67,NA,NA,NA,NA,NA,NA,NA,42,2,Slider,0,5,5,0,5,0,5,0,Standard,Standard,88,0,-0.021,67.54358063692246,8.10721
SL,2024-04-22,81.9,-1.5,5.41,"Kiner-Falefa, Isiah",643396,663903,,called_strike,NA,NA,NA,NA,6,Isiah Kiner-Falefa called out on strikes.,R,R,R,KC,TOR,S,NA,,0,0,2024,0.15,-0.09,0.46,2.01,NA,NA,NA,2,6,Top,NA,NA,NA,NA,521692,NA,NA,4.19652104553772,-119.31874569637,-0.956312150353435,0.635283285104921,22.7504884121142,-33.0343228525927,3.19,1.48,NA,NA,NA,83,2418,7,746319,663903,521692,686469,686681,672580,677951,680118,641658,592669,53.53,NA,NA,NA,NA,NA,NA,NA,42,1,Slider,0,5,5,0,5,0,5,0,Standard,Standard,109,0,-0.014,NA,NA
SI,2024-04-22,92.8,-1.44,5.15,"Jansen, Danny",643376,663903,field_out,hit_into_play,NA,NA,NA,NA,9,"Danny Jansen grounds out, first baseman Vinnie Pasquantino to pitcher Brady Singer.",R,R,R,KC,TOR,X,3,ground_ball,3,2,2024,-1.38,0.97,0.35,1.79,NA,NA,NA,1,6,Top,143.02,157.97,NA,NA,521692,NA,NA,7.73281002670023,-134.767910611169,-4.94648758801002,-18.5428767795049,31.1983270953436,-19.4995569161215,3.27,1.54,2,81.8,-41,93.8,2190,7.1,746319,663903,521692,686469,686681,672580,677951,680118,641658,592669,53.38,0.086,0.073,0,1,0,0,2,41,6,Sinker,0,5,5,0,5,0,5,0,Standard,Standard,219,0.003,-0.215,55.197983044506216,5.38807
SL,2024-04-22,82.6,-1.44,5.37,"Jansen, Danny",643376,663903,,ball,NA,NA,NA,NA,14,"Danny Jansen grounds out, first baseman Vinnie Pasquantino to pitcher Brady Singer.",R,R,R,KC,TOR,B,NA,,2,2,2024,0.35,0.19,1.25,1.49,NA,NA,NA,1,6,Top,NA,NA,NA,NA,521692,NA,NA,5.48594034973549,-120.275052009241,-2.71447051763029,2.34364107514785,23.4290758324267,-30.0335320761827,3.34,1.52,NA,NA,NA,83.5,2391,6.9,746319,663903,521692,686469,686681,672580,677951,680118,641658,592669,53.62,NA,NA,NA,NA,NA,NA,NA,41,5,Slider,0,5,5,0,5,0,5,0,Standard,Standard,82,0,0.071,NA,NA
SL,2024-04-22,82.3,-1.38,5.3,"Jansen, Danny",643376,663903,,ball,NA,NA,NA,NA,14,"Danny Jansen grounds out, first baseman Vinnie Pasquantino to pitcher Brady Singer.",R,R,R,KC,TOR,B,NA,,1,2,2024,0.5,0.19,1.76,0.88,NA,NA,NA,1,6,Top,NA,NA,NA,NA,521692,NA,NA,6.19257068612077,-119.770271661579,-3.93303823849403,3.69918145174712,22.2695303251156,-29.8159785533765,3.35,1.5,NA,NA,NA,83.2,2253,6.8,746319,663903,521692,686469,686681,672580,677951,680118,641658,592669,53.73,NA,NA,NA,NA,NA,NA,NA,41,4,Slider,0,5,5,0,5,0,5,0,Standard,Standard,91,0,0.025,NA,NA
SL,2024-04-22,83,-1.33,5.33,"Jansen, Danny",643376,663903,,ball,NA,NA,NA,NA,14,"Danny Jansen grounds out, first baseman Vinnie Pasquantino to pitcher Brady Singer.",R,R,R,KC,TOR,B,NA,,0,2,2024,0.21,0.2,1.06,1.66,NA,NA,NA,1,6,Top,NA,NA,NA,NA,521692,NA,NA,5.12465201457321,-120.889601803691,-2.4006774333951,1.18099328541398,21.4783288555124,-29.9370046474107,3.47,1.65,NA,NA,NA,84.5,2467,7,746319,663903,521692,686469,686681,672580,677951,680118,641658,592669,53.51,NA,NA,NA,NA,NA,NA,NA,41,3,Slider,0,5,5,0,5,0,5,0,Standard,Standard,87,0,0.017,NA,NA
SI,2024-04-22,91,-1.44,5.2,"Jansen, Danny",643376,663903,,foul,NA,NA,NA,NA,4,"Danny Jansen grounds out, first baseman Vinnie Pasquantino to pitcher Brady Singer.",R,R,R,KC,TOR,S,NA,,0,1,2024,-1.2,0.45,-0.52,2.45,NA,NA,NA,1,6,Top,NA,NA,NA,NA,521692,NA,NA,4.97225508312926,-132.469690983889,-1.98876203221447,-15.236106173024,28.3557014889772,-26.6390606642227,3.27,1.54,6,92,-25,92.5,2151,7.2,746319,663903,521692,686469,686681,672580,677951,680118,641658,592669,53.32,NA,NA,NA,NA,NA,NA,NA,41,2,Sinker,0,5,5,0,5,0,5,0,Standard,Standard,217,0,-0.037,71.46419969342465,7.12035
SI,2024-04-22,91.4,-1.35,5.17,"Jansen, Danny",643376,663903,,called_strike,NA,NA,NA,NA,8,"Danny Jansen grounds out, first baseman Vinnie Pasquantino to pitcher Brady Singer.",R,R,R,KC,TOR,S,NA,,0,0,2024,-1.05,0.76,0.25,1.82,NA,NA,NA,1,6,Top,NA,NA,NA,NA,521692,NA,NA,6.40869098036003,-132.960266701759,-4.28573034711691,-13.8378694139798,26.7426747186912,-22.4096931266569,3.5,1.57,NA,NA,NA,93,2194,7.1,746319,663903,521692,686469,686681,672580,677951,680118,641658,592669,53.36,NA,NA,NA,NA,NA,NA,NA,41,1,Sinker,0,5,5,0,5,0,5,0,Standard,Standard,209,0,-0.024,NA,NA
FF,2024-04-22,99.2,-1.59,6.34,"Turner, Trea",607208,668881,field_out,hit_into_play,NA,NA,NA,NA,6,Trea Turner flies out sharply to center fielder Bubba Thompson.,R,R,R,CIN,PHI,X,8,fly_ball,2,2,2024,-0.88,1.55,0.41,2.79,NA,NA,NA,2,7,Top,175.76,58.16,NA,NA,663886,NA,NA,7.55422350509694,-144.161079529424,-7.89538375103889,-14.0522478599732,33.8846591860494,-8.91457951313478,3.5,1.73,369,101.1,28,99.4,2492,6.5,746723,668881,663886,687952,669289,600869,682829,668715,669352,656413,54.02,0.646,1.225,0,1,0,0,6,49,5,4-Seam Fastball,0,4,4,0,4,0,4,0,Infield shade,Standard,214,0.003,-0.082,72.7768827173684,7.19718
