"date","player_id","name","avg","avg_3","avg_5","avg_7","delta_3","delta_5","delta_7"
2024-08-18,663662,"Cameron, Daz",0.188,0.222,0.2,0.222,0.034,0.012,0.034
2024-08-18,608348,"Kelly, Carson",0.251,0.25,0.368,0.32,-0.001,0.117,0.069
2024-08-18,687529,"McCray, Grant",0.357,0.5,0.357,0.357,0.143,0,0
2024-08-18,672275,"Bailey, Patrick",0.235,0.091,0.105,0.074,-0.144,-0.13,-0.161
2024-08-18,680474,"Schuemann, Max",0.236,0.091,0.056,0.05,-0.145,-0.18,-0.186
2024-08-18,694671,"Langford, Wyatt",0.245,0.3,0.333,0.269,0.055,0.088,0.024
2024-08-18,691176,"Domínguez, Jasson",0,0,0,0,0,0,0
2024-08-18,670276,"Stevenson, Cal",0.2,0.167,0.2,0.2,-0.033,0,0
2024-08-18,657136,"Wong, Connor",0.288,0.2,0.2,0.217,-0.088,-0.088,-0.071
2024-08-18,669743,"Call, Alex",0.356,0.154,0.25,0.233,-0.202,-0.106,-0.123
2024-08-18,673962,"Jung, Josh",0.288,0.308,0.3,0.294,0.02,0.012,0.00600000000000001
2024-08-18,687231,"Hernaiz, Darell",0.188,0,0.214,0.238,-0.188,0.026,0.05
2024-08-18,573262,"Yastrzemski, Mike",0.242,0.143,0.133,0.143,-0.099,-0.109,-0.099
2024-08-18,676391,"Clement, Ernie",0.268,0.154,0.238,0.2,-0.114,-0.03,-0.068
2024-08-18,650559,"De La Cruz, Bryan",0.24,0.2,0.333,0.24,-0.04,0.093,0
2024-08-18,624641,"Sosa, Edmundo",0.279,0.375,0.231,0.318,0.096,-0.048,0.039
2024-08-18,519317,"Stanton, Giancarlo",0.245,0.2,0.235,0.28,-0.045,-0.01,0.035
2024-08-18,670764,"Walls, Taylor",0.181,0.364,0.375,0.35,0.183,0.194,0.169
2024-08-18,691718,"Crow-Armstrong, Pete",0.211,0.286,0.167,0.15,0.075,-0.044,-0.061
2024-08-18,663993,"Lowe, Nathaniel",0.256,0.2,0.158,0.148,-0.056,-0.098,-0.108
2024-08-18,600869,"Candelario, Jeimer",0.227,0.273,0.222,0.16,0.046,-0.005,-0.067
2024-08-18,807799,"Yoshida, Masataka",0.297,0.75,0.667,0.478,0.453,0.37,0.181
2024-08-18,595281,"Kiermaier, Kevin",0.199,0.273,0.333,0.304,0.074,0.134,0.105
2024-08-18,680869,"Gelof, Zack",0.197,0.1,0.111,0.231,-0.097,-0.086,0.034
2024-08-18,682928,"Abrams, CJ",0.248,0.167,0.111,0.192,-0.081,-0.137,-0.056
2024-08-18,621020,"Swanson, Dansby",0.229,0.2,0.133,0.208,-0.029,-0.096,-0.021
2024-08-18,666969,"García, Adolis",0.229,0.231,0.409,0.387,0.002,0.18,0.158
2024-08-18,543807,"Springer, George",0.221,0.267,0.2,0.179,0.046,-0.021,-0.042
2024-08-18,681146,"Bride, Jonah",0.265,0.182,0.294,0.25,-0.083,0.029,-0.015
2024-08-18,669477,"Schmitt, Casey",0.207,0.444,0.455,0.333,0.237,0.248,0.126
2024-08-18,642133,"Tellez, Rowdy",0.247,0.167,0.222,0.192,-0.08,-0.025,-0.055
2024-08-18,669701,"Smith, Josh",0.269,0.091,0.19,0.235,-0.178,-0.079,-0.034
2024-08-18,593871,"Polanco, Jorge",0.216,0.364,0.294,0.308,0.148,0.078,0.092
2024-08-18,592450,"Judge, Aaron",0.329,0.25,0.35,0.433,-0.079,0.021,0.104
2024-08-18,500743,"Rojas, Miguel",0.288,0.6,0.571,0.455,0.312,0.283,0.167
2024-08-18,676356,"DeLuca, Jonny",0.18,0.111,0.062,0.083,-0.069,-0.118,-0.097
2024-08-18,670042,"Raley, Luke",0.236,0.571,0.385,0.294,0.335,0.149,0.058
2024-08-18,670770,"Friedl, TJ",0.219,0.1,0.294,0.25,-0.119,0.075,0.031
2024-08-18,641933,"O'Neill, Tyler",0.268,0.273,0.235,0.192,0.005,-0.033,-0.076
