"date","player_id","name","avg","avg_3","avg_5","avg_7","delta_3","delta_5","delta_7"
2024-08-23,596103,"Slater, Austin",0.226,0.4,0.4,0.385,0.174,0.174,0.159
2024-08-23,700250,"Rice, Ben",0.187,0.111,0.077,0.105,-0.076,-0.11,-0.082
2024-08-23,666310,"Naylor, Bo",0.204,0.3,0.286,0.2,0.096,0.082,-0.00399999999999998
2024-08-23,657041,"Thomas, Lane",0.227,0,0.077,0.118,-0.227,-0.15,-0.109
2024-08-23,669911,"Toglia, Michael",0.22,0.222,0.2,0.238,0.002,-0.02,0.018
2024-08-23,657077,"Verdugo, Alex",0.227,0,0,0.04,-0.227,-0.227,-0.187
2024-08-23,656811,"O'Hearn, Ryan",0.273,0.111,0.077,0.167,-0.162,-0.196,-0.106
2024-08-23,573262,"Yastrzemski, Mike",0.238,0.222,0.125,0.15,-0.016,-0.113,-0.088
2024-08-23,608336,"Gallo, Joey",0.172,0.273,0.286,0.238,0.101,0.114,0.066
2024-08-23,641857,"McMahon, Ryan",0.245,0.273,0.167,0.154,0.028,-0.078,-0.091
2024-08-23,668885,"Martin, Austin",0.258,0.455,0.438,0.381,0.197,0.18,0.123
2024-08-23,681351,"O'Hoppe, Logan",0.253,0.167,0.222,0.2,-0.086,-0.031,-0.053
2024-08-23,700242,"Sweeney, Trey",0.143,0.091,0.143,0.143,-0.052,0,0
2024-08-23,623993,"Santander, Anthony",0.238,0.182,0.2,0.172,-0.056,-0.038,-0.066
2024-08-23,666397,"Julien, Edouard",0.218,0.5,0.429,0.333,0.282,0.211,0.115
2024-08-23,656305,"Chapman, Matt",0.244,0.091,0.211,0.192,-0.153,-0.033,-0.052
2024-08-23,807799,"Yoshida, Masataka",0.292,0.167,0.294,0.409,-0.125,0.002,0.117
2024-08-23,676356,"DeLuca, Jonny",0.18,0.182,0.158,0.125,0.002,-0.022,-0.055
2024-08-23,665926,"Giménez, Andrés",0.253,0.2,0.118,0.13,-0.053,-0.135,-0.123
2024-08-23,683011,"Volpe, Anthony",0.252,0.333,0.353,0.28,0.081,0.101,0.028
2024-08-23,683083,"Nuñez, Nasim",0.25,0.5,0.4,0.455,0.25,0.15,0.205
2024-08-23,686668,"Doyle, Brenton",0.269,0.25,0.316,0.308,-0.019,0.047,0.039
2024-08-23,641680,"Heim, Jonah",0.228,0.182,0.222,0.208,-0.046,-0.00600000000000001,-0.02
2024-08-23,690291,"Jung, Jace",0.208,0.091,0.167,0.208,-0.117,-0.041,0
2024-08-23,683002,"Henderson, Gunnar",0.285,0.182,0.176,0.24,-0.103,-0.109,-0.045
2024-08-23,624424,"Conforto, Michael",0.238,0.125,0.308,0.316,-0.113,0.07,0.078
2024-08-23,681082,"Stott, Bryson",0.236,0.25,0.25,0.217,0.014,0.014,-0.019
2024-08-23,596146,"Kepler, Max",0.262,0.273,0.211,0.154,0.011,-0.051,-0.108
2024-08-23,608701,"Refsnyder, Rob",0.294,0.1,0.25,0.24,-0.194,-0.044,-0.054
2024-08-23,666139,"Lowe, Josh",0.231,0.1,0.118,0.16,-0.131,-0.113,-0.071
2024-08-23,543685,"Rendon, Anthony",0.231,0.2,0.188,0.158,-0.031,-0.043,-0.073
2024-08-23,679529,"Torkelson, Spencer",0.212,0.083,0.263,0.269,-0.129,0.051,0.057
2024-08-23,663898,"Rodgers, Brendan",0.277,0.25,0.211,0.222,-0.027,-0.066,-0.055
2024-08-23,691718,"Crow-Armstrong, Pete",0.217,0.444,0.267,0.316,0.227,0.05,0.099
2024-08-23,696285,"Young, Jacob",0.252,0.4,0.25,0.261,0.148,-0.002,0.00900000000000001
