"date","player_id","name","avg","avg_3","avg_5","avg_7","delta_3","delta_5","delta_7"
2024-09-28,660766,"Yepez, Juan",0.285,0.417,0.333,0.346,0.132,0.048,0.061
2024-09-28,666971,"Gurriel Jr., Lourdes",0.276,0.222,0.286,0.318,-0.054,0.00999999999999995,0.042
2024-09-28,666310,"Naylor, Bo",0.201,0.111,0.176,0.182,-0.09,-0.025,-0.019
2024-09-28,572233,"Walker, Christian",0.25,0.25,0.2,0.16,0,-0.05,-0.09
2024-09-28,664913,"Brown, Seth",0.229,0.182,0.125,0.083,-0.047,-0.104,-0.146
2024-09-28,669003,"Mitchell, Garrett",0.251,0.25,0.308,0.263,-0.001,0.057,0.012
2024-09-28,701305,"Dezenzo, Zach",0.242,0.357,0.278,0.25,0.115,0.036,0.00800000000000001
2024-09-28,694192,"Chourio, Jackson",0.276,0.4,0.316,0.333,0.124,0.04,0.057
2024-09-28,641355,"Bellinger, Cody",0.269,0.222,0.278,0.192,-0.047,0.00900000000000001,-0.077
2024-09-28,665926,"Giménez, Andrés",0.252,0.1,0.222,0.296,-0.152,-0.03,0.044
2024-09-28,547180,"Harper, Bryce",0.284,0.222,0.375,0.25,-0.062,0.091,-0.034
2024-09-28,677588,"Tena, José",0.274,0,0.105,0.185,-0.274,-0.169,-0.089
2024-09-28,669707,"Triolo, Jared",0.218,0.091,0.211,0.222,-0.127,-0.00700000000000001,0.004
2024-09-28,669701,"Smith, Josh",0.259,0.077,0.19,0.233,-0.182,-0.069,-0.026
2024-09-28,691016,"Soderstrom, Tyler",0.234,0.273,0.263,0.292,0.039,0.029,0.058
2024-09-28,572138,"Singleton, Jon",0.237,0.125,0.2,0.174,-0.112,-0.037,-0.063
2024-09-28,607680,"Pillar, Kevin",0.231,0,0.059,0.091,-0.231,-0.172,-0.14
2024-09-28,681508,"Gasper, Mickey",0,0,0,0,0,0,0
2024-09-28,621020,"Swanson, Dansby",0.242,0.2,0.263,0.259,-0.042,0.021,0.017
2024-09-28,657041,"Thomas, Lane",0.236,0.091,0.125,0.174,-0.145,-0.111,-0.062
2024-09-28,666018,"Aranda, Jonathan",0.24,0.273,0.188,0.261,0.033,-0.052,0.021
2024-09-28,592626,"Pederson, Joc",0.275,0.167,0.182,0.188,-0.108,-0.093,-0.087
2024-09-28,641943,"Palacios, Joshua",0.219,0,0.143,0.19,-0.219,-0.076,-0.029
2024-09-28,655316,"Monasterio, Andruw",0.211,0.125,0.182,0.143,-0.086,-0.029,-0.068
2024-09-28,607208,"Turner, Trea",0.296,0.25,0.19,0.207,-0.046,-0.106,-0.089
2024-09-28,669127,"Langeliers, Shea",0.225,0.182,0.235,0.304,-0.043,0.00999999999999998,0.079
2024-09-28,660688,"Ruiz, Keibert",0.229,0.385,0.286,0.25,0.156,0.057,0.021
2024-09-28,543760,"Semien, Marcus",0.237,0.333,0.333,0.333,0.096,0.096,0.096
2024-09-28,678009,"Meadows, Parker",0.242,0.3,0.333,0.231,0.058,0.091,-0.011
2024-09-28,647304,"Naylor, Josh",0.244,0.273,0.312,0.217,0.029,0.068,-0.027
2024-09-28,691406,"Caminero, Junior",0.255,0.308,0.3,0.286,0.053,0.045,0.031
2024-09-28,605170,"Caratini, Victor",0.272,0.273,0.222,0.259,0.001,-0.05,-0.013
2024-09-28,664023,"Happ, Ian",0.245,0.167,0.111,0.185,-0.078,-0.134,-0.06
2024-09-28,608070,"Ramírez, José",0.279,0.5,0.389,0.462,0.221,0.11,0.183
2024-09-28,665804,"Amaya, Miguel",0.235,0.2,0.353,0.25,-0.035,0.118,0.015
2024-09-28,669394,"Burger, Jake",0.249,0.375,0.308,0.324,0.126,0.059,0.075
