"date","player_id","name","avg","avg_3","avg_5","avg_7","delta_3","delta_5","delta_7"
2024-09-27,602104,"Urías, Ramón",0.256,0.273,0.263,0.28,0.017,0.00700000000000001,0.024
2024-09-27,656775,"Mullins, Cedric",0.232,0.455,0.316,0.276,0.223,0.084,0.044
2024-09-27,663624,"Mountcastle, Ryan",0.274,0.455,0.438,0.292,0.181,0.164,0.018
2024-09-27,641487,"Crawford, J.P.",0.202,0.091,0.111,0.2,-0.111,-0.091,-0.002
2024-09-27,656811,"O'Hearn, Ryan",0.261,0.182,0.267,0.333,-0.079,0.00600000000000001,0.072
2024-09-27,668939,"Rutschman, Adley",0.253,0.231,0.286,0.241,-0.022,0.033,-0.012
2024-09-27,666139,"Lowe, Josh",0.241,0.25,0.2,0.211,0.00900000000000001,-0.041,-0.03
2024-09-27,543309,"Higashioka, Kyle",0.222,0.25,0.167,0.136,0.028,-0.055,-0.086
2024-09-27,571745,"Haniger, Mitch",0.214,0.333,0.231,0.278,0.119,0.017,0.064
2024-09-27,676356,"DeLuca, Jonny",0.218,0.3,0.25,0.273,0.082,0.032,0.055
2024-09-27,570482,"Urshela, Gio",0.249,0.364,0.368,0.393,0.115,0.119,0.144
2024-09-27,686681,"Massey, Michael",0.259,0.444,0.417,0.25,0.185,0.158,-0.00900000000000001
2024-09-27,677951,"Witt Jr., Bobby",0.332,0.182,0.278,0.36,-0.15,-0.054,0.028
2024-09-27,571448,"Arenado, Nolan",0.27,0.357,0.381,0.321,0.087,0.111,0.051
2024-09-27,676475,"Burleson, Alec",0.264,0.2,0.133,0.13,-0.064,-0.131,-0.134
2024-09-27,641680,"Heim, Jonah",0.219,0.273,0.316,0.28,0.054,0.097,0.061
2024-09-27,682634,"Alcántara, Kevin",0.143,0.143,0.143,0.143,0,0,0
2024-09-27,676391,"Clement, Ernie",0.265,0.25,0.35,0.333,-0.015,0.085,0.068
2024-09-27,663698,"Bart, Joey",0.262,0.25,0.316,0.25,-0.012,0.054,-0.012
2024-09-27,664238,"Moore, Dylan",0.204,0,0.167,0.125,-0.204,-0.037,-0.079
2024-09-27,681297,"Cowser, Colton",0.243,0.25,0.211,0.25,0.00700000000000001,-0.032,0.00700000000000001
2024-09-27,669221,"Murphy, Sean",0.199,0.1,0.125,0.091,-0.099,-0.074,-0.108
2024-09-27,663656,"Tucker, Kyle",0.287,0.308,0.4,0.444,0.021,0.113,0.157
2024-09-27,666018,"Aranda, Jonathan",0.24,0.182,0.188,0.273,-0.058,-0.052,0.033
2024-09-27,641598,"Garver, Mitch",0.172,0.25,0.158,0.222,0.078,-0.014,0.05
2024-09-27,666464,"Encarnacion, Jerar",0.257,0.25,0.294,0.208,-0.00700000000000001,0.037,-0.049
2024-09-27,663993,"Lowe, Nathaniel",0.26,0.167,0.167,0.185,-0.093,-0.093,-0.075
2024-09-27,502054,"Pham, Tommy",0.247,0.154,0.182,0.161,-0.093,-0.065,-0.086
2024-09-27,680718,"Barger, Addison",0.2,0.167,0.133,0.111,-0.033,-0.067,-0.089
