"date","player_id","name","avg","avg_3","avg_5","avg_7","delta_3","delta_5","delta_7"
2024-09-29,668901,"Vientos, Mark",0.271,0.214,0.286,0.214,-0.057,0.015,-0.057
2024-09-29,607043,"Nimmo, Brandon",0.225,0.143,0.136,0.133,-0.082,-0.089,-0.092
2024-09-29,578428,"Iglesias, Jose",0.345,0.455,0.421,0.429,0.11,0.076,0.084
2024-09-29,676475,"Burleson, Alec",0.267,0.417,0.333,0.261,0.15,0.066,-0.00600000000000001
2024-09-29,665782,"De Los Santos, Luis",0.172,0.143,0.077,0.167,-0.029,-0.095,-0.00499999999999998
2024-09-29,686611,"Crews, Dylan",0.22,0.6,0.353,0.28,0.38,0.133,0.06
2024-09-29,680977,"Donovan, Brendan",0.277,0.462,0.389,0.37,0.185,0.112,0.093
2024-09-29,596019,"Lindor, Francisco",0.272,0.333,0.412,0.36,0.061,0.14,0.088
2024-09-29,686555,"Collins, Isaac",0.118,0.125,0.1,0.083,0.00700000000000001,-0.018,-0.035
2024-09-29,553993,"Suárez, Eugenio",0.254,0.385,0.263,0.259,0.131,0.00900000000000001,0.005
2024-09-29,676914,"Schneider, Davis",0.19,0,0,0,-0.19,-0.19,-0.19
2024-09-29,677588,"Tena, José",0.267,0,0,0.185,-0.267,-0.267,-0.082
2024-09-29,683021,"Stefanic, Michael",0.218,0.222,0.25,0.2,0.004,0.032,-0.018
2024-09-29,621438,"Taylor, Tyrone",0.248,0.111,0.2,0.25,-0.137,-0.048,0.002
2024-09-29,666464,"Encarnacion, Jerar",0.248,0.167,0.2,0.24,-0.081,-0.048,-0.00800000000000001
2024-09-29,691406,"Caminero, Junior",0.248,0.308,0.286,0.25,0.06,0.038,0.002
2024-09-29,545341,"Grichuk, Randal",0.292,0.429,0.5,0.364,0.137,0.208,0.072
2024-09-29,694359,"Kavadas, Niko",0.183,0.333,0.231,0.19,0.15,0.048,0.00700000000000001
2024-09-29,676113,"DeLoach, Zach",0.209,0.273,0.353,0.269,0.064,0.144,0.06
2024-09-29,606992,"Haase, Eric",0.273,0.1,0.25,0.227,-0.173,-0.023,-0.046
2024-09-29,682626,"Alvarez, Francisco",0.238,0.4,0.2,0.294,0.162,-0.038,0.056
2024-09-29,676391,"Clement, Ernie",0.263,0.182,0.211,0.296,-0.081,-0.052,0.033
2024-09-29,641343,"Bauers, Jake",0.199,0.286,0.364,0.267,0.087,0.165,0.068
2024-09-29,665877,"Fermín, José",0.155,0.222,0.214,0.143,0.067,0.059,-0.012
2024-09-29,672569,"Campero, Gustavo",0.239,0.167,0.167,0.192,-0.072,-0.072,-0.047
2024-09-29,660766,"Yepez, Juan",0.283,0.308,0.35,0.333,0.025,0.067,0.05
2024-09-29,682641,"Matos, Luis",0.213,0.286,0.167,0.118,0.073,-0.046,-0.095
2024-09-29,687462,"Horwitz, Spencer",0.269,0.182,0.158,0.192,-0.087,-0.111,-0.077
2024-09-29,673357,"Robert Jr., Luis",0.226,0.308,0.238,0.241,0.082,0.012,0.015
2024-09-29,642715,"Adames, Willy",0.252,0.222,0.222,0.333,-0.03,-0.03,0.081
2024-09-29,680700,"Palacios, Richie",0.223,0,0,0,-0.223,-0.223,-0.223
2024-09-29,502110,"Martinez, J.D.",0.234,0.222,0.125,0.083,-0.012,-0.109,-0.151
2024-09-29,682729,"Clase, Jonatan",0.246,0.364,0.333,0.348,0.118,0.087,0.102
2024-09-29,687529,"McCray, Grant",0.203,0.182,0.15,0.154,-0.021,-0.053,-0.049
2024-09-29,695578,"Wood, James",0.264,0.214,0.238,0.286,-0.05,-0.026,0.022
2024-09-29,682829,"De La Cruz, Elly",0.259,0.154,0.19,0.233,-0.105,-0.069,-0.026
2024-09-29,686780,"Pagés, Pedro",0.239,0.273,0.294,0.217,0.034,0.055,-0.022
2024-09-29,686482,"Driscoll, Logan",0.171,0.143,0.091,0.111,-0.028,-0.08,-0.06
2024-09-29,642136,"Thaiss, Matt",0.204,0.2,0.133,0.19,-0.00399999999999998,-0.071,-0.014
2024-09-29,606192,"Hernández, Teoscar",0.274,0.429,0.333,0.37,0.155,0.059,0.096
2024-09-29,592273,"Drury, Brandon",0.171,0.154,0.2,0.192,-0.017,0.029,0.021
2024-09-29,572233,"Walker, Christian",0.251,0.2,0.211,0.217,-0.051,-0.04,-0.034
2024-09-29,663837,"Vierling, Matt",0.261,0.25,0.231,0.2,-0.011,-0.03,-0.061
2024-09-29,678246,"Vargas, Miguel",0.146,0,0,0.087,-0.146,-0.146,-0.059
2024-09-29,592200,"Casali, Curt",0.194,0.333,0.267,0.286,0.139,0.073,0.092
