"date","player_id","name","avg","avg_3","avg_5","avg_7","delta_3","delta_5","delta_7"
2024-08-31,656941,"Schwarber, Kyle",0.238,0.091,0.056,0.111,-0.147,-0.182,-0.127
2024-08-31,641658,"Hampson, Garrett",0.235,0.143,0.25,0.176,-0.092,0.015,-0.059
2024-08-31,678882,"Rafaela, Ceddanne",0.253,0.1,0.125,0.13,-0.153,-0.128,-0.123
2024-08-31,666149,"Fitzgerald, Tyler",0.283,0.182,0.211,0.222,-0.101,-0.072,-0.061
2024-08-31,657757,"Sheets, Gavin",0.241,0.25,0.25,0.222,0.00900000000000001,0.00900000000000001,-0.019
2024-08-31,680869,"Gelof, Zack",0.201,0.083,0.2,0.269,-0.118,-0.001,0.068
2024-08-31,682622,"Marte, Noelvi",0.199,0.273,0.235,0.292,0.074,0.036,0.093
2024-08-31,679032,"Rojas, Johan",0.244,0,0.154,0.167,-0.244,-0.09,-0.077
2024-08-31,657656,"Laureano, Ramón",0.246,0.182,0.35,0.25,-0.064,0.104,0.004
2024-08-31,700242,"Sweeney, Trey",0.194,0.25,0.154,0.227,0.056,-0.04,0.033
2024-08-31,679845,"Loftin, Nick",0.189,0,0.133,0.158,-0.189,-0.056,-0.031
2024-08-31,656716,"McKinstry, Zach",0.229,0.545,0.5,0.5,0.316,0.271,0.271
2024-08-31,683734,"Vaughn, Andrew",0.24,0,0.053,0.192,-0.24,-0.187,-0.048
2024-08-31,669004,"Melendez, MJ",0.213,0.25,0.2,0.333,0.037,-0.013,0.12
2024-08-31,624424,"Conforto, Michael",0.232,0.25,0.211,0.154,0.018,-0.021,-0.078
2024-08-31,606115,"Arcia, Orlando",0.226,0.3,0.235,0.25,0.074,0.00899999999999998,0.024
2024-08-31,624641,"Sosa, Edmundo",0.274,0.222,0.182,0.154,-0.052,-0.092,-0.12
2024-08-31,665828,"Cabrera, Oswaldo",0.25,0.143,0.083,0.25,-0.107,-0.167,0
2024-08-31,679529,"Torkelson, Spencer",0.222,0.2,0.25,0.32,-0.022,0.028,0.098
2024-08-31,666023,"Fermin, Freddy",0.294,0.182,0.19,0.185,-0.112,-0.104,-0.109
2024-08-31,643376,"Jansen, Danny",0.211,0.111,0.062,0.083,-0.1,-0.149,-0.128
2024-08-31,665161,"Peña, Jeremy",0.272,0.4,0.211,0.185,0.128,-0.061,-0.087
2024-08-31,666624,"Morel, Christopher",0.197,0.333,0.211,0.208,0.136,0.014,0.011
2024-08-31,643217,"Benintendi, Andrew",0.222,0.417,0.444,0.375,0.195,0.222,0.153
2024-08-31,671739,"Harris II, Michael",0.247,0.25,0.238,0.217,0.003,-0.00900000000000001,-0.03
2024-08-31,663662,"Cameron, Daz",0.189,0.071,0.091,0.192,-0.118,-0.098,0.003
2024-08-31,642350,"Siri, Jose",0.194,0.182,0.111,0.2,-0.012,-0.083,0.00600000000000001
2024-08-31,666181,"Benson, Will",0.195,0.286,0.267,0.25,0.091,0.072,0.055
2024-08-31,642215,"Wilson, Weston",0.333,0.25,0.3,0.312,-0.083,-0.033,-0.021
2024-08-31,657077,"Verdugo, Alex",0.233,0.182,0.316,0.346,-0.051,0.083,0.113
2024-08-31,673357,"Robert Jr., Luis",0.22,0.154,0.15,0.241,-0.066,-0.07,0.021
2024-08-31,608336,"Gallo, Joey",0.17,0.25,0.2,0.167,0.08,0.03,-0.003
2024-08-31,693304,"Gonzales, Nick",0.266,0.333,0.318,0.29,0.067,0.052,0.024
2024-08-31,668901,"Vientos, Mark",0.282,0.273,0.35,0.25,-0.00899999999999995,0.068,-0.032
2024-08-31,690993,"Keith, Colt",0.258,0,0,0.217,-0.258,-0.258,-0.041
2024-08-31,657557,"DeJong, Paul",0.234,0.091,0.176,0.2,-0.143,-0.058,-0.034
2024-08-31,667452,"Julks, Corey",0.213,0.214,0.167,0.192,0.001,-0.046,-0.021
2024-08-31,671213,"Casas, Triston",0.256,0,0.059,0.2,-0.256,-0.197,-0.056
2024-08-31,656305,"Chapman, Matt",0.248,0.3,0.389,0.32,0.052,0.141,0.072
2024-08-31,673237,"Diaz, Yainer",0.3,0.333,0.238,0.233,0.033,-0.062,-0.067
2024-08-31,642708,"Rosario, Amed",0.297,0.143,0.167,0.167,-0.154,-0.13,-0.13
2024-08-31,666018,"Aranda, Jonathan",0.208,0.143,0.143,0.188,-0.065,-0.065,-0.02
2024-08-31,664023,"Happ, Ian",0.241,0.417,0.4,0.379,0.176,0.159,0.138
