"date","player_id","name","avg","avg_3","avg_5","avg_7","delta_3","delta_5","delta_7"
2024-08-25,680869,"Gelof, Zack",0.202,0.333,0.267,0.286,0.131,0.065,0.084
2024-08-25,657136,"Wong, Connor",0.283,0.182,0.125,0.174,-0.101,-0.158,-0.109
2024-08-25,663662,"Cameron, Daz",0.209,0.5,0.385,0.333,0.291,0.176,0.124
2024-08-25,623993,"Santander, Anthony",0.235,0.182,0.111,0.148,-0.053,-0.124,-0.087
2024-08-25,663898,"Rodgers, Brendan",0.273,0.077,0.19,0.179,-0.196,-0.083,-0.094
2024-08-25,676391,"Clement, Ernie",0.265,0.083,0.211,0.185,-0.182,-0.054,-0.08
2024-08-25,664913,"Brown, Seth",0.228,0.4,0.286,0.278,0.172,0.058,0.05
2024-08-25,807799,"Yoshida, Masataka",0.291,0.182,0.2,0.28,-0.109,-0.091,-0.011
2024-08-25,641857,"McMahon, Ryan",0.246,0.2,0.278,0.2,-0.046,0.032,-0.046
2024-08-25,672386,"Kirk, Alejandro",0.249,0.417,0.333,0.333,0.168,0.084,0.084
2024-08-25,663538,"Hoerner, Nico",0.254,0.182,0.263,0.24,-0.072,0.00900000000000001,-0.014
2024-08-25,642086,"Smith, Dominic",0.237,0.182,0.2,0.263,-0.055,-0.037,0.026
2024-08-25,686668,"Doyle, Brenton",0.269,0.182,0.263,0.308,-0.087,-0.00600000000000001,0.039
2024-08-25,701538,"Merrill, Jackson",0.292,0.273,0.263,0.259,-0.019,-0.029,-0.033
2024-08-25,642731,"Estrada, Thairo",0.219,0.25,0.25,0.222,0.031,0.031,0.003
2024-08-25,666160,"Moniak, Mickey",0.215,0.143,0.154,0.15,-0.072,-0.061,-0.065
2024-08-25,677588,"Tena, José",0.326,0.25,0.316,0.333,-0.076,-0.01,0.00700000000000001
2024-08-25,596117,"Stubbs, Garrett",0.216,0.545,0.333,0.318,0.329,0.117,0.102
2024-08-25,679529,"Torkelson, Spencer",0.212,0.143,0.143,0.25,-0.069,-0.069,0.038
2024-08-25,573262,"Yastrzemski, Mike",0.244,0.308,0.333,0.24,0.064,0.089,-0.004
2024-08-25,643289,"Dubón, Mauricio",0.253,0.333,0.294,0.24,0.08,0.041,-0.013
2024-08-25,624585,"Soler, Jorge",0.238,0,0,0.067,-0.238,-0.238,-0.171
2024-08-25,683002,"Henderson, Gunnar",0.283,0.1,0.167,0.167,-0.183,-0.116,-0.116
2024-08-25,672695,"Perdomo, Geraldo",0.288,0.417,0.368,0.379,0.129,0.08,0.091
2024-08-25,669289,"Espinal, Santiago",0.261,0.417,0.368,0.333,0.156,0.107,0.072
2024-08-25,666176,"Adell, Jo",0.212,0.125,0.312,0.333,-0.087,0.1,0.121
2024-08-25,641933,"O'Neill, Tyler",0.262,0.091,0.158,0.174,-0.171,-0.104,-0.088
2024-08-25,630105,"Cronenworth, Jake",0.242,0.077,0.19,0.192,-0.165,-0.052,-0.05
2024-08-25,669127,"Langeliers, Shea",0.221,0.091,0.111,0.12,-0.13,-0.11,-0.101
2024-08-25,665953,"Chaparro, Andrés",0.268,0.25,0.25,0.259,-0.018,-0.018,-0.00900000000000001
2024-08-25,665489,"Guerrero Jr., Vladimir",0.321,0.444,0.412,0.348,0.123,0.091,0.027
2024-08-25,641355,"Bellinger, Cody",0.271,0.154,0.182,0.233,-0.117,-0.089,-0.038
2024-08-25,668939,"Rutschman, Adley",0.264,0.3,0.235,0.208,0.036,-0.029,-0.056
2024-08-25,678662,"Tovar, Ezequiel",0.271,0.308,0.19,0.241,0.037,-0.081,-0.03
2024-08-25,701305,"Dezenzo, Zach",0.237,0.571,0.308,0.182,0.334,0.071,-0.055
2024-08-25,679032,"Rojas, Johan",0.249,0.333,0.267,0.304,0.084,0.018,0.055
2024-08-25,641645,"Guillorme, Luis",0.213,0.143,0.143,0.125,-0.07,-0.07,-0.088
2024-08-25,680777,"Jeffers, Ryan",0.236,0.4,0.429,0.333,0.164,0.193,0.097
2024-08-25,453568,"Blackmon, Charlie",0.247,0,0.111,0.115,-0.247,-0.136,-0.132
2024-08-25,663743,"Fortes, Nick",0.217,0,0.133,0.2,-0.217,-0.084,-0.017
2024-08-25,553993,"Suárez, Eugenio",0.239,0.615,0.381,0.29,0.376,0.142,0.051
2024-08-25,690291,"Jung, Jace",0.226,0.25,0.167,0.2,0.024,-0.059,-0.026
2024-08-25,656305,"Chapman, Matt",0.243,0.091,0.111,0.192,-0.152,-0.132,-0.051
2024-08-25,592518,"Machado, Manny",0.272,0.417,0.312,0.25,0.145,0.04,-0.022
2024-08-25,607680,"Pillar, Kevin",0.255,0.091,0.133,0.111,-0.164,-0.122,-0.144
2024-08-25,592325,"Gamel, Ben",0.294,0.375,0.357,0.35,0.081,0.063,0.056
2024-08-25,672284,"Kelenic, Jarred",0.236,0,0.25,0.211,-0.236,0.014,-0.025
2024-08-25,680728,"Del Castillo, Adrian",0.341,0.25,0.4,0.292,-0.091,0.059,-0.049
2024-08-25,691026,"Winn, Masyn",0.279,0.273,0.364,0.3,-0.00600000000000001,0.085,0.021
2024-08-25,669016,"Marsh, Brandon",0.245,0.417,0.333,0.286,0.172,0.088,0.041
2024-08-25,668715,"Steer, Spencer",0.239,0.333,0.312,0.304,0.094,0.073,0.065
2024-08-25,596103,"Slater, Austin",0.213,0.1,0.154,0.222,-0.113,-0.059,0.00900000000000001
