"date","player_id","name","avg","avg_3","avg_5","avg_7","delta_3","delta_5","delta_7"
2024-09-30,570482,"Urshela, Gio",0.251,0.286,0.238,0.345,0.035,-0.013,0.094
2024-09-30,657656,"Laureano, Ramón",0.26,0.25,0.25,0.242,-0.01,-0.01,-0.018
2024-09-30,624585,"Soler, Jorge",0.241,0.273,0.312,0.304,0.032,0.071,0.063
2024-09-30,621566,"Olson, Matt",0.247,0.312,0.273,0.345,0.065,0.026,0.098
2024-09-30,518595,"d'Arnaud, Travis",0.239,0.3,0.158,0.192,0.061,-0.081,-0.047
2024-09-30,621438,"Taylor, Tyrone",0.249,0.25,0.158,0.231,0.001,-0.091,-0.018
2024-09-30,542303,"Ozuna, Marcell",0.302,0.067,0.095,0.2,-0.235,-0.207,-0.102
2024-09-30,645277,"Albies, Ozzie",0.251,0.2,0.217,0.212,-0.051,-0.034,-0.039
2024-09-30,671739,"Harris II, Michael",0.265,0.25,0.304,0.364,-0.015,0.039,0.099
2024-09-30,606115,"Arcia, Orlando",0.216,0.2,0.188,0.167,-0.016,-0.028,-0.049
2024-09-30,502110,"Martinez, J.D.",0.235,0.273,0.2,0.13,0.038,-0.035,-0.105
2024-09-30,669221,"Murphy, Sean",0.195,0.125,0.067,0.095,-0.07,-0.128,-0.1
2024-09-30,624413,"Alonso, Pete",0.238,0.143,0.143,0.154,-0.095,-0.095,-0.084
2024-09-30,607043,"Nimmo, Brandon",0.225,0.176,0.154,0.171,-0.049,-0.071,-0.054
2024-09-30,668901,"Vientos, Mark",0.269,0.167,0.238,0.207,-0.102,-0.031,-0.062
2024-09-30,578428,"Iglesias, Jose",0.341,0.294,0.333,0.364,-0.047,-0.00800000000000001,0.023
2024-09-30,596019,"Lindor, Francisco",0.273,0.308,0.389,0.385,0.035,0.116,0.112
2024-09-30,664056,"Bader, Harrison",0.234,0,0,0.125,-0.234,-0.234,-0.109
2024-09-30,682626,"Alvarez, Francisco",0.238,0.375,0.25,0.278,0.137,0.012,0.04
2024-09-30,516782,"Marte, Starling",0.269,0.333,0.188,0.182,0.064,-0.081,-0.087
2024-09-30,682668,"Acuña, Luisangel",0.308,0.1,0.25,0.208,-0.208,-0.058,-0.1
2024-09-30,657193,"Alvarez, Eddy",0,0,0,0,0,0,0
2024-09-30,642201,"White, Eli",0.282,0.25,0.286,0.3,-0.032,0.004,0.018
2024-09-30,620443,"Torrens, Luis",0.231,0,0,0,-0.231,-0.231,-0.231
2024-09-30,672284,"Kelenic, Jarred",0.231,0.2,0.091,0.176,-0.031,-0.14,-0.055
