"date","player_id","name","avg","avg_3","avg_5","avg_7","delta_3","delta_5","delta_7"
2024-09-19,663368,"Perkins, Blake",0.247,0.25,0.154,0.136,0.003,-0.093,-0.111
2024-09-19,676609,"Caballero, José",0.228,0.1,0.059,0.174,-0.128,-0.169,-0.054
2024-09-19,676572,"Wagaman, Eric",0.235,0.286,0.318,0.276,0.051,0.083,0.041
2024-09-19,669003,"Mitchell, Garrett",0.25,0.273,0.312,0.227,0.023,0.062,-0.023
2024-09-19,664238,"Moore, Dylan",0.207,0.2,0.182,0.231,-0.00699999999999998,-0.025,0.024
2024-09-19,681351,"O'Hoppe, Logan",0.233,0,0.118,0.091,-0.233,-0.115,-0.142
2024-09-19,661388,"Contreras, William",0.284,0.2,0.312,0.238,-0.084,0.028,-0.046
2024-09-19,666139,"Lowe, Josh",0.243,0.364,0.294,0.25,0.121,0.051,0.00700000000000001
2024-09-19,519203,"Rizzo, Anthony",0.22,0.231,0.238,0.24,0.011,0.018,0.02
2024-09-19,672640,"Lopez, Otto",0.265,0.455,0.444,0.346,0.19,0.179,0.081
2024-09-19,623993,"Santander, Anthony",0.238,0.091,0.158,0.154,-0.147,-0.08,-0.084
2024-09-19,663656,"Tucker, Kyle",0.267,0.333,0.286,0.318,0.066,0.019,0.051
2024-09-19,670541,"Alvarez, Yordan",0.304,0.091,0.111,0.154,-0.213,-0.193,-0.15
2024-09-19,592273,"Drury, Brandon",0.169,0.182,0.167,0.154,0.013,-0.002,-0.015
2024-09-19,672275,"Bailey, Patrick",0.235,0.1,0.235,0.318,-0.135,0,0.083
2024-09-19,668715,"Steer, Spencer",0.231,0.111,0.188,0.208,-0.12,-0.043,-0.023
2024-09-19,606466,"Marte, Ketel",0.289,0.111,0.176,0.174,-0.178,-0.113,-0.115
2024-09-19,641487,"Crawford, J.P.",0.202,0.2,0.25,0.208,-0.002,0.048,0.00599999999999998
2024-09-19,694384,"Schanuel, Nolan",0.252,0.273,0.316,0.346,0.021,0.064,0.094
2024-09-19,666149,"Fitzgerald, Tyler",0.287,0.231,0.316,0.269,-0.056,0.029,-0.018
2024-09-19,608324,"Bregman, Alex",0.255,0.25,0.15,0.172,-0.005,-0.105,-0.083
2024-09-19,656775,"Mullins, Cedric",0.229,0.077,0.158,0.111,-0.152,-0.071,-0.118
2024-09-19,694192,"Chourio, Jackson",0.271,0.167,0.227,0.258,-0.104,-0.044,-0.013
2024-09-19,691176,"Domínguez, Jasson",0.194,0.273,0.235,0.217,0.079,0.041,0.023
2024-09-19,665953,"Chaparro, Andrés",0.217,0.091,0.105,0.111,-0.126,-0.112,-0.106
2024-09-19,669065,"Stowers, Kyle",0.216,0.364,0.333,0.25,0.148,0.117,0.034
2024-09-19,593871,"Polanco, Jorge",0.196,0.1,0.118,0.08,-0.096,-0.078,-0.116
2024-09-19,687263,"Neto, Zach",0.248,0.111,0.111,0.08,-0.137,-0.137,-0.168
2024-09-19,666018,"Aranda, Jonathan",0.232,0.273,0.25,0.261,0.041,0.018,0.029
2024-09-19,519317,"Stanton, Giancarlo",0.233,0.222,0.188,0.174,-0.011,-0.045,-0.059
2024-09-19,683002,"Henderson, Gunnar",0.283,0.286,0.3,0.276,0.003,0.017,-0.00699999999999995
2024-09-19,695578,"Wood, James",0.266,0.1,0.235,0.2,-0.166,-0.031,-0.066
2024-09-19,663457,"Nootbaar, Lars",0.244,0.1,0.176,0.261,-0.144,-0.068,0.017
2024-09-19,682998,"Carroll, Corbin",0.234,0.273,0.316,0.292,0.039,0.082,0.058
2024-09-19,681146,"Bride, Jonah",0.258,0.167,0.3,0.25,-0.091,0.042,-0.00800000000000001
2024-09-19,624424,"Conforto, Michael",0.235,0.462,0.353,0.292,0.227,0.118,0.057
2024-09-19,650490,"Díaz, Yandy",0.284,0.25,0.25,0.35,-0.034,-0.034,0.066
2024-09-19,669394,"Burger, Jake",0.241,0.182,0.167,0.269,-0.059,-0.074,0.028
2024-09-19,682829,"De La Cruz, Elly",0.261,0.385,0.3,0.296,0.124,0.039,0.035
2024-09-19,681082,"Stott, Bryson",0.245,0.273,0.263,0.185,0.028,0.018,-0.06
2024-09-19,457759,"Turner, Justin",0.257,0.375,0.375,0.333,0.118,0.118,0.076
2024-09-19,680977,"Donovan, Brendan",0.276,0.583,0.444,0.37,0.307,0.168,0.094
2024-09-19,672695,"Perdomo, Geraldo",0.273,0,0.067,0.174,-0.273,-0.206,-0.099
2024-09-19,622534,"Margot, Manuel",0.241,0.1,0.118,0.095,-0.141,-0.123,-0.146
2024-09-19,666464,"Encarnacion, Jerar",0.261,0.182,0.235,0.269,-0.079,-0.026,0.00800000000000001
2024-09-19,656896,"Rivera, Emmanuel",0.226,0.333,0.267,0.273,0.107,0.041,0.047
2024-09-19,693304,"Gonzales, Nick",0.273,0.417,0.3,0.296,0.144,0.027,0.023
2024-09-19,641355,"Bellinger, Cody",0.273,0.364,0.286,0.333,0.091,0.013,0.06
2024-09-19,668930,"Turang, Brice",0.257,0.1,0.333,0.333,-0.157,0.076,0.076
2024-09-19,686611,"Crews, Dylan",0.221,0.231,0.19,0.172,0.01,-0.031,-0.049
2024-09-19,664040,"Lowe, Brandon",0.244,0.25,0.25,0.241,0.00600000000000001,0.00600000000000001,-0.003
2024-09-19,643289,"Dubón, Mauricio",0.266,0.1,0.188,0.227,-0.166,-0.078,-0.039
2024-09-19,702616,"Holliday, Jackson",0.176,0.333,0.222,0.176,0.157,0.046,0
2024-09-19,665862,"Chisholm Jr., Jazz",0.256,0.077,0.167,0.2,-0.179,-0.089,-0.056
2024-09-19,621493,"Ward, Taylor",0.248,0.385,0.316,0.24,0.137,0.068,-0.00800000000000001
2024-09-19,592206,"Castellanos, Nick",0.244,0.182,0.211,0.192,-0.062,-0.033,-0.052
